zh	en	ja
寶箱中閃耀著三鋰!(火箭燃料)	A chest gleams with Tri-Lithium! (rocket fuel)	
你找到一個寶箱:+%d 黃金。	You find a chest: +%d gold.	宝箱を見つけた:+%d ゴールド。
地牢中%s擋路!你擊敗了它(+%d 經驗,+%d 金)。	A %s blocks your way! You defeat it (+%d EXP, +%d gold).	
%s 在地牢重創了你!	A %s wounds you badly in the dungeon!	
米娜克斯只存在於傳說時代。	Minax exists only in the Time of Legends.	
米娜克斯的力場造成 1000 點傷害!你被消滅了。	Minax's force field deals 1000 damage! You are destroyed.	
戒指擋下了力場!但唯有迅捷之劍 ENILNO 能殺死她。	The Ring blocks the field! But only Quicksword ENILNO can slay her.	
你以迅捷之劍 ENILNO 擊穿了米娜克斯!	With Quicksword ENILNO you strike down Minax!	
安托斯神父祝福你,賜予了力場之戒。	Father Antos blesses you and grants the Force-Field Ring.	
這架飛機少了黃銅鈕扣,飛不起來。	This plane is missing a brass button; it won't fly.	
你的火箭擦過太陽,船身受損!失去 %d 點生命。	Your rocket grazes the sun! Hull damaged, lose %d HP.	
語系:繁體中文	Language: English	
Ultima II — %s(T 交談 · X 離開)	Ultima II — %s (T talk · X exit)	Ultima II — %s(T 会話 · X 退出)
Ultima II:女巫的復仇 — 繁體中文	Ultima II: Revenge of the Enchantress	Ultima II: 魔女の復讐
方向鍵/WASD 移動 · T 交談 · Z 商店 · C 角色表 · X 離開 · F1 指令表	Arrows/WASD move · T talk · Z shop · C sheet · X exit · F1 help	方向キー/WASD 移動 · T 会話 · Z 店 · C ステータス · X 退出 · F1 コマンド
方向鍵/WASD 移動 · B 登船 · P 時間門 · G 畫風 · F1 指令表 · Q	Arrows/WASD move · B board · P time door · G theme · F1 help · Q	方向キー/WASD 移動 · B 乗船 · P 時の扉 · G 画風 · F1 コマンド · Q
地牢 — 第一人稱線框	Dungeon — first-person wireframe	
塔 — 第一人稱線框	Tower — first-person wireframe	
座標 (%d, %d)  地形 id=%d  圖塊 %s(G 切換)	Pos (%d, %d)  terrain id=%d  tileset %s (G)	座標 (%d, %d)  地形 id=%d  タイル %s(G)
切換圖塊:%s	Tileset: %s	
找不到城鎮資料,無法進入。	Town data not found; cannot enter.	
找不到地牢資料,無法進入。	Dungeon data not found; cannot enter.	
繼續冒險	Continue	
新遊戲(建立角色)	New Game (create character)	
試玩範例角色	Try sample character	
離開	Quit	
你離開了城鎮。	You leave.	
這裡沒有人可以交談。	No one to talk to here.	
附近沒有人可以交談。	No one nearby to talk to.	
對方沉默不語。	They say nothing.	
對方欲言又止。	They hesitate to speak.	
%s出現了!	A %s appears!	
附近沒有陸地可上岸。	No land nearby to disembark.	
蜥蜴人	Lizard Man	
幽靈	Ghost	
魔鬼	Devil	
炎魔	Balron	
哥布林	Goblin	
盜賊	Thief	
惡魔	Daemon	
海蛇	Sea Serpent	
怪物	Monster	
腳下沒有向下的樓梯。	No stairs down here.	
已是最底層。	Already at the bottom.	
你沿樓梯往下,來到第 %d 層。	You descend to level %d.	
腳下沒有向上的樓梯。	No stairs up here.	
你沿樓梯往上,來到第 %d 層。	You ascend to level %d.	
腳下有向下的樓梯(J 下樓)。	Stairs down here (J).	
腳下有向上的樓梯(K 上樓)。	Stairs up here (K).	
前方是牆。	A wall ahead.	
時間之門連向虛無(找不到 mapx%s)。	The time door leads to nothing (mapx%s missing).	
國王見你持有力場之戒,賜予迅捷之劍 ENILNO!	Seeing the Ring, the King grants Quicksword ENILNO!	
任務:尋找安托斯神父(盤古大陸的城堡)取得力場之戒。	Quest: Find Father Antos (a castle in Pangea) for the Force-Field Ring.	
任務:帶著戒指去見國王,取得迅捷之劍 ENILNO。	Quest: Bring the Ring to a King to earn Quicksword ENILNO.	
任務:前往傳說時代,於巢穴擊敗米娜克斯!	Quest: Go to the Time of Legends and defeat Minax in her lair!	
任務:已完成 ── 你拯救了宇宙!	Quest: Complete -- you have saved the universe!	
任務	Quest	
米娜克斯尖叫「去死吧,蠢貨!」你倒下了……(回城補給再來)	Minax cries "DIE FOOL!" You fall... (resupply in town and return)	
你倒下了……不列顛王將你復活,但失去了半數黃金。	You fell... Lord British revives you, but you lose half your gold.	
